Timestamp,RED,IR,Ax,Ay,Az,Gx,Gy,Gz,Temperature
2024-11-13 03:34:09,5949,8237,-0.05,-0.02,0.92,3,3,1,27.42
2021-01-01 00:00:31,10893,9347,0.05,0.61,0.7,-1,4,1,28.22
2021-01-01 00:00:31,125,185,0.61,0.8,-0.3,3,4,4,27.52
2021-01-01 00:00:31,6681,6169,-0.52,-0.66,0.39,12,-8,9,27.38
2021-01-01 00:01:01,433,394,-0.85,0.07,-0.33,-48,12,-25,27.94
2021-01-01 00:01:31,344,308,-0.75,-0.28,0.44,6,-69,-19,28.22
2021-01-01 00:02:01,9706,14292,-0.52,0.84,-0.18,54,7,78,28.36
2021-01-01 00:02:31,2418,2113,-0.47,0.9599999,0.15,109,-47,50,28.55
2021-01-01 00:03:01,177,169,-1.02,0.57,0.09,-5,17,-2,29.07
2021-01-01 00:03:31,6433,7620,-0.17,0.54,0.61,6,-6,7,29.12
2021-01-01 00:04:01,8089,11671,-0.42,0.58,0.52,-13,11,-4,29.12
2021-01-01 00:00:31,283,239,0.11,0.85,-0.6,59,4,68,28.79
2021-01-01 00:01:01,1794,2515,-1.01,0.54,0.04,-12,28,-29,29.21
2021-01-01 00:01:31,2544,3720,-0.66,0.62,0.09,-3,-9,-2,29.54
2021-01-01 00:02:01,8453,13600,-0.76,0.29,0.32,8,20,-3,29.26
2021-01-01 00:02:31,7353,11755,1.0,0.5,0.17,-34,-3,-4,29.12
2021-01-01 00:03:01,7367,12155,0.39,0.91,-0.19,6,11,9,29.68
2021-01-01 00:03:31,7545,12099,0.61,0.83,0.15,2,10,-5,29.73
2021-01-01 00:04:01,7542,11949,0.33,0.95,-0.19,-6,0,20,29.78
2021-01-01 00:04:31,7468,11829,0.46,0.9,-0.03,3,3,1,29.92
2021-01-01 00:05:01,7476,11836,0.47,0.9,-0.03,3,3,1,30.06
2021-01-01 00:05:31,6919,11648,0.13,0.93,0.18,3,3,1,30.25
2021-01-01 00:06:01,6901,11587,0.11,0.94,0.16,3,3,1,31.24
2021-01-01 00:06:31,6906,11538,0.12,0.94,0.15,3,3,1,30.72
2021-01-01 00:07:01,8186,12210,-0.14,0.94,0.02,1,-1,-3,30.81
2021-01-01 00:07:31,7692,11318,0.23,0.87,-0.51,2,3,1,31.14
2021-01-01 00:08:01,7538,11044,0.23,0.87,-0.51,3,3,1,31.42
2021-01-01 00:08:31,7443,10892,0.22,0.87,-0.51,2,3,1,31.61
2021-01-01 00:09:01,6454,11205,0.25,0.86,-0.52,3,3,1,31.56
2021-01-01 00:09:31,6391,11077,0.26,0.86,-0.52,2,3,2,31.71
2021-01-01 00:10:01,6395,11071,0.26,0.86,-0.52,3,2,1,31.75
2021-01-01 00:10:31,6408,11091,0.26,0.86,-0.52,2,3,2,31.85
2021-01-01 00:11:01,6480,11282,0.22,0.9,-0.47,3,3,1,31.89
2021-01-01 00:11:31,6472,11235,0.22,0.89,-0.47,3,3,1,31.61
